id,used_mock,skip_reason,label,sentiment,category,post,s1_summary,s1_salient,s1_estimated_risk,s2_text,s2_target,s2_style
0,emulated,,bipolar,neutral,postpartum,"There are moments when my thoughts feel like a tornado, swirling around me with no end in sight. It's like I'm in the eye of the storm.",Parent reports self-doubt during feeds; notes breastfeeding latch challenges and language barrier at clinic.,breastfeeding latch challenges; language barrier at clinic,EPDS 5–9 (watchful waiting) – psychoeducation,"I’m still figuring out what rest looks like with a newborn. The day stacked up into small moments that spilled over—breastfeeding latch challenges, language barrier at clinic showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
1,emulated,,major depressive,neutral,postpartum,"In finding out if I have cancer. I have generalized anxiety disorder, major depressive disorder, PTSD, anemia, and possibly thalassemia. My body aches everyday. I get sharp pain throughout my body. Pinched nerves. And the memory of the dream I had when I was 16 randomly came-",Parent reports self-doubt during feeds; notes language barrier at clinic and identity shift after birth; mentions anx.,language barrier at clinic; identity shift after birth,EPDS 5–9 (watchful waiting) – psychoeducation,"I noticed my nerves buzzing again even when the room was quiet. The day stacked up into small moments that spilled over—language barrier at clinic, identity shift after birth showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
2,emulated,,atypical,neutral,postpartum,"@Leslie_ness @divergentdawn How common is that combo of autism and severe sleep issues? I have idiopathic hypersomnia - constantly exhausted - and was recently late-diagnosed autistic - I have similar severe depression on days I don't feel rested, which i",Parent reports tearfulness without a clear reason; notes return-to-work pressure and language barrier at clinic; mentions sleep.,return-to-work pressure; language barrier at clinic,EPDS 5–9 (watchful waiting) – psychoeducation,"Today was uneven, but not all of it was hard. The day stacked up into small moments that spilled over—return-to-work pressure, language barrier at clinic showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
3,emulated,,postpartum,neutral,postpartum,"It's hard to admit, but sometimes I feel resentful towards my baby for taking over my life. I love them more than anything, but the constant demands of motherhood can be suffocating.",Parent reports loneliness when everyone leaves; notes identity shift after birth and partner on late shifts.,identity shift after birth; partner on late shifts,EPDS 5–9 (watchful waiting) – psychoeducation,"I’m learning to slow down when the spiral starts. The day stacked up into small moments that spilled over—identity shift after birth, partner on late shifts showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
4,emulated,,psychotic,neutral,postpartum,"The voices inside my head are becoming more and more insistent, like a chorus of negativity that's impossible to ignore. The sadness and despair are so heavy that it's like a dark cloud, blocking out any chance of happiness or hope.",Parent reports overwhelm when routines collapse; notes post-cesarean soreness and identity shift after birth.,post-cesarean soreness; identity shift after birth,EPDS 5–9 (watchful waiting) – psychoeducation,"Tonight felt heavier than I wanted to admit. The day stacked up into small moments that spilled over—post-cesarean soreness, identity shift after birth showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
5,emulated,,bipolar,neutral,postpartum,"@MiaMia87217278 I suffer from bipolar disorder, depression and ptsd. It is so hard to get help when you live in a rural area. I am also have epilepsy, so no driving. Thank heavens I have an amazing family as a support system in place. Im also thankful ",Parent reports anxiety spikes at night; notes return-to-work pressure and limited local support; mentions support.,return-to-work pressure; limited local support,EPDS 5–9 (watchful waiting) – psychoeducation,"I’m still figuring out what rest looks like with a newborn. The day stacked up into small moments that spilled over—return-to-work pressure, limited local support showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
6,emulated,,psychotic,neutral,postpartum,"I'm lost in a forest of my own thoughts, and I can't find my way out. Every step I take leads me deeper into the darkness, further away from the light. The trees are closing in on me, and I'm running out of time.",Parent reports fatigue that lingers through the day; notes financial stressors and colicky evenings.,financial stressors; colicky evenings,EPDS 5–9 (watchful waiting) – psychoeducation,"I noticed my nerves buzzing again even when the room was quiet. The day stacked up into small moments that spilled over—financial stressors, colicky evenings showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
7,emulated,,postpartum,neutral,postpartum,I've been having a hard time adjusting to motherhood. It feels like everything has changed and I don't know who I am anymore. I miss my old life and I feel guilty for feeling that way.,Parent reports restlessness even when the baby sleeps; notes identity shift after birth and limited local support.,identity shift after birth; limited local support,EPDS 5–9 (watchful waiting) – psychoeducation,"I’m learning to slow down when the spiral starts. The day stacked up into small moments that spilled over—identity shift after birth, limited local support showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
8,emulated,,postpartum,neutral,postpartum,"Postpartum depression is no joke. Mine is not as bad as before, but I am definitely still going through it. That's why I can't have two kids. I'm fine with just one. I can't go through through the early stages of PPD again.",Parent reports restlessness even when the baby sleeps; notes formula transition uncertainty and language barrier at clinic.,formula transition uncertainty; language barrier at clinic,EPDS 5–9 (watchful waiting) – psychoeducation,"Tonight felt heavier than I wanted to admit. The day stacked up into small moments that spilled over—formula transition uncertainty, language barrier at clinic showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
9,emulated,,postpartum,neutral,postpartum,"Im finally at a point where Im willing to admit that I am indeed suffering from postpartum depression, and it is indeed kicking my ass (most days).",Parent reports restlessness even when the baby sleeps; notes return-to-work pressure and post-cesarean soreness.,return-to-work pressure; post-cesarean soreness,EPDS 5–9 (watchful waiting) – psychoeducation,"I noticed my nerves buzzing again even when the room was quiet. The day stacked up into small moments that spilled over—return-to-work pressure, post-cesarean soreness showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
