Post,Label,Category,Sentiment
I been going thru depression  I didnt even realize it till a couple weeks ago I always said Im strong Im not gone go thru that I got this but your emotions change your body changes your mind changes after a baby like I just pushed a whole human outta me I need time,postpartum,postpartum,neutral
"@keshab_mahanta hello Health minister sir,I m a working mother in Irrigation department in Government of Assam and in maternity leave and I am suffering from  depression,it's very tough for me to handle my situation as my baby is 1.5 months old",postpartum,postpartum,neutral
"FYI in case anyone is concerned - I am NOT actually getting drunk. æ§€ Im on baby duty today, plus since I am still suffering from some mild  depression, I am severely limiting my alcohol intake. Also in my mid 30s I cant day drink without wanting to die the next day.",postpartum,postpartum,neutral
@victorr_ugo Thankful I am able to hold my baby now after suffering from  depression for 8 weeks .,postpartum,postpartum,neutral
I think I might be suffering from  depression minus the baby...,postpartum,postpartum,neutral
I am sorry for all of the men suffering from  depression. It's good for them they didn't have to produce the baby.,postpartum,postpartum,neutral
"Here's my story, when I tried to seek help at 4 weeks for  depression I was told I have baby blues and need to wait until 6 weeks.@loosewomen #LooseWomen https://t.co/HHiU4tSBto",postpartum,postpartum,neutral
im really scared that when i have my baby that ill have  depression æ§¶,postpartum,postpartum,neutral
@jonathanstea I got a whole lot of love with my new baby. Still have  depression and anxiety. Am I not doing it right? æ§€,postpartum,postpartum,neutral
"something just hit me on my drive home from picking up my son and Im done feeling bad for myself..  depression/anxiety can really take over someone after a baby and Im so ready to get back in the gym. You make time when you have a baby, no excuse Im such a good mom.",postpartum,postpartum,neutral
"@AshleyGWinter Seriously! It was my kid's pediatrician who caught my  depression at their 3mo check up. Had it not been for her, I don't know if I would have survived my baby's first year.",postpartum,postpartum,neutral
When I first had my baby I feel like I went through  depression and disappeared and cut the majority of my friends off. Here we are 18 months later and I feel more like myself than ever before and have the most perfect angel next to me to share it with,postpartum,postpartum,neutral
"I am so blessed with the friends and family who has been supporting me in my motherhood journey. Everything was new to me,  depression, anxiety  hormones got to me,but my baby was the best thing that could have ever happened to me. I would do it all over again î³å¾",postpartum,postpartum,neutral
"@Hayzeus_no_Gsus Idk, man. I didnt ask for it. Theres no way to prevent it. My hormones said guess what, you now have this baby AND  depression! Good luck! Google is friend. Use it.",postpartum,postpartum,neutral
@TheJackBly I had my 4th baby almost 4 months ago. I started exercising more consistently I have started seeing a difference in my mental health as I've been battling  Depression. Dr told me to start with that and it's def helping! é‰‚ã‚ç¬,postpartum,postpartum,neutral
"@VusiThembekwayo Yes I did, 2 years ago during lockdown. I was suffering from  depression  didn't have support. So I contemplated to take my life  my baby's life. I reached out to a psychologist  started investing in my spiritu",postpartum,postpartum,neutral
"@MrAndyNgo I had  depression. I don't know about others, but my intrusive thoughts were: I don't have enough breatsmilk, I am a bad mom, she will be better off without me. Never did I think of harming my baby. This person needs serious help!",postpartum,postpartum,neutral
"@jzux I saw a therapist for severe  depression. She had me bring my baby to an appointment, sit on the floor and play with him, then told me I didnt have PPD because I could play with my baby. I didnt make another appointment.",postpartum,postpartum,neutral
"@UniverseJumping é‰I mean, I guess we were all sort of a mess. I had /really/ bad  depression, but guess what. The second that baby cried, everything stopped long enough for me to take care of her. And I only had two people then. Three if you c",postpartum,postpartum,neutral
Everytime I babysit I feel like I already have  depression,postpartum,postpartum,neutral
"The caption says he died from depression
 I suffer from still sometimes.  I gave birth 19 months ago. Never ONCE have I considered starving and beating my baby to death. Fucking never.",postpartum,postpartum,neutral
LordçŒžçŒži pushed this baby out act least make the father have  depression ã—å¾“éˆ²éˆ¾é””å½Šå„·ï¿½ #HappyHolidays ã‡ #WomenTalking,postpartum,postpartum,neutral
i pray ppl check up on me after i have my baby cuz  depression genuinely scares me so much bc im already sad  hes not even here yet,postpartum,postpartum,neutral
"This year has been hard. Having a baby, fighting through  depression, and trying balancing everything in my life .Always changing my stream schedule and having to take weeks/months off. I feel like Im finally getting a hold of things and have a better stream schedule https://t.co/XYXI15Irib",postpartum,postpartum,neutral
I realized Im currently at my lowest point in my life yesterday.  depression is no joke. Its a year and 2 months after having my baby and i still havent shaken it off meçŒž. But i have to keep going for him and Im trying to find ways to cope and the help i need.,postpartum,postpartum,neutral
2020 - I went through  depression ã‚º reaaaal bad ! Real bad! 2021- My baby brother was killed ã‚º 2022- Ive been healing but I know its still some things I have to cut myself from completely before I can be whole! 2023- IM COMING BACK æŒ€ BEAST MODE !,postpartum,postpartum,neutral
@AssusReamus I took Zoloft for  depression and all it did was numb me into a functioning zombie. Weaning off of it was a nightmare as well. I'm thankful I got through the horrors of that time but numbness sucks when you have a tiny baby you wa,postpartum,postpartum,neutral
I still have  depression this baby really took all my energy glow and beauty and self esteem æ§¯,postpartum,postpartum,neutral
ok in scared to have a baby cause what if i have  depression like i already have depression so what if that happens i dont think ill handle it well ill probably kms what,postpartum,postpartum,neutral
"The depression I had when sage was born.  depression is real  its scary. Were not just going crazy. Our hormones are imbalanced and our baby had a traumatic experience. I am glad those dark days are over. And Im so glad I have a crazy toddler, a baby my body made! https://t.co/pGuasoTl3u",postpartum,postpartum,neutral
Little ms ran through talkin bout my post partum depression like bitch i sure have been goin threw  depression tf im not ashamed of it but it has nothin to do with Tee or me havin baby daddy issues cus even when me and Tee aint good we still good period,postpartum,postpartum,neutral
"This pregnancy is the worst one then my last two. I have a Depression while pregnant,it's rare but I can happen and it sucks so much",postpartum,postpartum,neutral
"i have had both prenatal depression along with depression, the ladder im currently struggling with again. i know i have some pregnant people along with people having a baby with a pregnant person, and id just like to say depression has been the worst",postpartum,postpartum,neutral
"Quick question. How does this have anything to do with depression? She was allegedly doing cocaine before she was pregnant (not 100% sure if this is true since I didnt research, which is why I put allegedly",postpartum,postpartum,neutral
We have one. Discussed it before I was pregnant and then when I had ridiculously awful depression we decided that it was not worth going through again,postpartum,postpartum,neutral
